0.000000	0.102553	- MarthaHip
0.121147	0.156914	K
0.156914	0.216910	IY
0.216910	0.311520	P
0.311520	0.384373	DH
0.384373	0.480467	OW
0.480467	0.576560	Z
0.576560	0.672653	F MarthaShow
0.672653	0.768746	AH
0.768746	0.864840	K
0.864840	0.960933	IH
0.960933	1.057026	NG
1.057026	1.153120	K
1.153120	1.216083	OW
1.218390	1.285310	K
1.285310	1.310693	AH
1.310693	1.339537	N
1.339537	1.362613	AH
1.366074	1.399534	T
1.399534	1.430686	S
1.430686	1.490682	AH
1.490682	1.557601	W
1.557601	1.629136	EY
1.629136	1.714515	F MarthaSideCrossed
1.714515	1.769897	R
1.772204	1.826432	AH
1.826432	1.857584	M
1.857584	1.899120	M
1.899120	2.062956	IY
2.087790	2.631167	-
