0.000000	0.119486	G MarthaMic
0.119486	0.238972	UH
0.238972	0.358458	D
0.358458	0.477944	IY
0.477944	0.597430	V
0.597430	0.716916	N
0.716916	0.836402	IH
0.836402	0.955888	NG
0.955888	1.075374	AY
1.075374	1.194860	M
1.194860	1.314346	M
1.314346	1.381409	AA
1.381409	1.468544	R
1.468544	1.525926	TH
1.525926	1.596059	AH
1.596059	1.676818	F
1.676818	1.757578	IH
1.757578	1.825586	L
1.825586	1.944599	IH
1.946724	2.014732	P
2.014732	2.084865	S
2.084865	2.167750	W
2.167750	2.244259	IH
2.244259	2.410028	DH
2.410028	2.482286	V MarthaHip
2.482286	2.575797	IY
2.575797	2.671433	B
2.671433	2.790447	IY
2.790447	2.900960	S
2.900960	3.081605	IY
3.081605	3.189993	N
3.189993	3.479026	UW
3.479026	3.570412	Z
3.578913	3.697926	-
3.697926	3.751058	T
3.751058	3.825441	AO
3.825441	3.929578	K
3.929578	4.008212	IH
4.008212	4.095347	NG
4.095347	4.184608	T
4.184608	4.237739	UW
4.237739	4.369504	Y
4.369504	4.556525	UW
4.556525	4.626658	F
4.626658	4.681915	R
4.681915	4.737171	AH
4.737171	4.820056	M
4.820056	4.962447	P MarthaShow
4.962447	5.100588	AO
5.100588	5.179222	R
5.179222	5.279109	T
5.279109	5.366244	R
5.366244	5.455504	OY
5.455504	5.610647	AH
5.610647	5.746663	L
5.776416	6.447994	-
