0.000000	0.123265	Y JackCasual JackNormal
0.123265	0.246531	UW
0.246531	0.369796	V
0.369796	0.493061	G
0.493061	0.616327	AA
0.616327	0.739592	T
0.739592	0.862857	Y
0.862857	0.986122	AO
0.986122	1.109388	R
1.109388	1.232653	S
1.232653	1.355918	K
1.355918	1.479184	AH
1.479184	1.602449	L
1.602449	1.725714	Y
1.725714	1.848979	AO
1.848980	1.972245	R
1.972245	2.095510	B
2.095510	2.218776	OW
2.218776	2.342041	N
2.342041	2.465306	Z
2.465306	2.588571	IH
2.588571	2.711837	T
2.711837	2.835102	S
2.835102	2.958367	AH
2.958367	3.081633	S
3.081633	3.204898	T
3.204898	3.328163	EY
3.328163	3.451428	T
3.451428	3.574694	M
3.574694	3.697959	AH
3.697959	3.821224	N
3.821224	3.944490	T
