0.000000	0.141369	AY
0.141369	0.282737	M
0.282737	0.424106	N
0.424106	0.565474	AA
0.565474	0.706843	T
0.706843	0.848211	AH
0.848211	0.989580	G
0.989580	1.130948	R
1.130948	1.272317	EY
1.272317	1.413685	T
1.413685	1.555054	F
1.555054	1.696422	AE
1.696422	1.837791	N
1.837791	1.979159	AH
1.979160	2.120528	V
2.120528	2.261897	S
2.261897	2.403265	IY
2.403265	2.544634	G
2.544634	2.686002	AH
2.686002	2.827371	L
2.827371	2.968739	Z
2.968739	3.110108	B
3.110108	3.251477	AH
3.251476	3.392845	T
3.392845	3.534214	IH
3.534214	3.675582	T
3.675582	3.816951	K
3.816951	3.958319	UH
3.958319	4.099688	D
4.099688	4.241056	B
4.241056	4.382424	IY
4.382425	4.523793	W
4.523793	4.665162	ER
4.665162	4.806530	S
