0.000000	0.139320	W
0.139320	0.278639	EH
0.278639	0.417959	L
0.417959	0.557279	AA
0.557279	0.696599	N
0.696599	0.835918	AH
0.835918	0.975238	S
0.975238	1.114558	T
1.114558	1.253877	L
1.253877	1.393197	IY
1.393197	1.532517	AY
1.532517	1.671837	K
1.671837	1.811156	UH
1.811156	1.950476	D
1.950476	2.089796	AH
2.089796	2.229115	N
2.229115	2.368435	T
2.368435	2.507755	IH
2.507755	2.647074	M
2.647075	2.786394	AE
2.786394	2.925714	JH
2.925714	3.065034	AH
3.065034	3.204354	N
3.204354	3.343673	AH
3.343673	3.482993	B
3.482993	3.622313	EH
3.622313	3.761632	T
3.761632	3.900952	ER
3.900952	4.040272	D
4.040272	4.179592	IH
4.179592	4.318912	Z
4.318911	4.458231	AY
4.458231	4.597551	N
