0.000000	0.108646	DH MarthaMic
0.108646	0.217291	AH
0.217291	0.325937	D
0.325937	0.434583	EY
0.434583	0.543228	IH
0.543228	0.651874	Z
0.651874	0.760520	W
0.760520	0.869165	EH
0.869165	0.977811	N
0.977811	1.086457	Z
1.086457	1.195102	D
1.195102	1.303748	IY
1.303748	1.412393	DH
1.412393	1.521039	AH
1.521039	1.629685	Y MarthaHips
1.629685	1.738330	IH
1.738330	1.846976	R
1.846976	1.955622	IH
1.955622	2.064267	Z
2.064267	2.172913	S
2.172913	2.281559	IH
2.281559	2.390204	K
2.390204	2.498850	S
2.498850	2.607496	T
2.607496	2.716141	IY
2.716141	2.824787	N
2.824787	2.933433	N
2.933433	3.042078	AY
3.042078	3.150724	N
3.150724	3.259369	T
3.259369	3.368015	IY
3.368015	3.476661	F
3.476661	3.585306	AY
3.585306	3.693952	V
3.693952	3.802598	AH
3.802598	3.911243	N
3.911243	4.019889	D
4.019889	4.128534	IH
4.128535	4.237180	M
4.237180	4.345826	B MarthShow
4.345826	4.454472	R
4.454472	4.563117	IH
4.563117	4.671762	NG
4.671763	4.780408	IH
4.780408	4.889054	NG
4.889054	4.997700	Y
4.997700	5.106345	UW
5.106346	5.214991	AH
5.214991	5.323637	S
5.323637	5.432282	P
5.432282	5.540928	EH
5.540928	5.649573	SH
5.649574	5.758219	AH
5.758219	5.866865	L
5.866865	5.975511	D
5.975511	6.084156	AA
6.084156	6.192801	K
6.192802	6.301447	Y
6.301447	6.410093	AH
6.410093	6.518739	M
6.518739	6.627384	EH
6.627385	6.736030	N
6.736030	6.844676	T
6.844676	6.953321	ER
6.953321	7.061967	IY
7.061967	7.170612	AH
7.170613	7.279258	B
7.279258	7.387904	AW
7.387904	7.496550	T
7.496550	7.605195	HH
7.605196	7.713841	IH MarthaHips
7.713841	7.822486	S
7.822487	7.931132	T
7.931132	8.039778	ER
8.039778	8.148423	IY
8.148423	8.257069	Z
8.257070	8.365715	M
8.365715	8.474360	OW
8.474360	8.583006	S
8.583006	8.691651	T
8.691652	8.800298	F
8.800298	8.908943	IH
8.908943	9.017589	R
9.017589	9.126234	S
9.126234	9.234879	AH
9.234880	9.343526	M
9.343526	9.452171	F
9.452171	9.560817	OW
